SURJEK_FLOW_METER_1,SURJEK_FLOW_METER_2,ROTATIONAL_PUMP_RPM,SURJEK_PUMP_TORQUE,MAXIMUM_DAILY_PUMP_TORQUE,SURJEK_AMMONIA_FLOW_RATE,SURJEK_TUBE_PRESSURE,SURJEK_ESTIMATED_EFFICIENCY,PUMP FAILURE (1 or 0),TIMEFRAME
0,-4.768066,0,0,0,0,0,0,0,09/12/2014 0:00
0,-4.855957,0,0,0,0,0,0,0,09/12/2014 0:01
0,-7.447938449,0,0,0,0,378.1128,0,0,09/12/2014 0:01
0,-8.745117,0,0,0,0,379.0283,0,0,09/12/2014 0:01
0,-6.877441,0,0,0,0,378.9599188,0,0,09/12/2014 0:02
0,-6.654250054,0,0,0,0,378.1128,0,0,09/12/2014 0:03
0,-6.431104345,0,0,0,0,376.2817,0,0,09/12/2014 0:04
0,-6.425084791,0,0,0,0,379.9438,0,0,09/12/2014 0:04
0,-6.418968731,0,0,0,0,376.2817,0,0,09/12/2014 0:04
0,-6.388904135,0,0,0,0,379.0283,0,0,09/12/2014 0:04
0,-6.262207,0,0,0,0,378.8653604,0,0,09/12/2014 0:05
0,-7.141113,0,0,0,0,378.2602527,0,0,09/12/2014 0:08
0,-3.251953,0,0,0,0,378.2214057,0,0,09/12/2014 0:08
0,-7.624512,0,0,0,0,378.2137844,0,0,09/12/2014 0:08
0,-6.519960582,0,0,0,0,378.1128,0,0,09/12/2014 0:08
0,-5.418760532,0,0,0,0,378.1128,0,0,09/12/2014 0:09
0,-4.570313,0,0,0,0,377.6550386,0,0,09/12/2014 0:09
0,-4.538926811,0,0,0,0,377.1973,0,0,09/12/2014 0:09
0,-4.526367,0,0,0,0,378.2409961,0,0,09/12/2014 0:09
0,-9.052734,0,0,0,0,379.0283,0,0,09/12/2014 0:10
0,-2.614746,0,0,0,0,378.6521988,0,0,09/12/2014 0:10
0,-5.537109,0,0,0,0,377.7352468,0,0,09/12/2014 0:10
0,-5.581055,0,0,0,0,376.7666286,0,0,09/12/2014 0:11
0,-1.977539,0,0,0,0,376.6044111,0,0,09/12/2014 0:11
0,-3.230887467,0,0,0,0,376.2817,0,0,09/12/2014 0:11
0,-4.069835807,0,0,0,0,379.9438,0,0,09/12/2014 0:11
0,-7.624512,0,0,0,0,379.9438,0,0,09/12/2014 0:12
0,-5.996507643,0,0,0,0,379.9438,0,0,09/12/2014 0:12
0,-5.815909673,0,0,0,0,376.2817,0,0,09/12/2014 0:12
0,-5.450463312,0,0,0,0,379.9438,0,0,09/12/2014 0:12
0,-2.922363,0,0,0,0,380.3568787,0,0,09/12/2014 0:13
0,-2.451324294,0,0,0,0,380.8594,0,0,09/12/2014 0:13
0,-2.423664206,0,0,0,0,376.2817,0,0,09/12/2014 0:13
0,-2.285156,0,0,0,0,376.5974015,0,0,09/12/2014 0:14
0,-9.074707,0,0,0,0,377.2918184,0,0,09/12/2014 0:14
0,-7.615703163,0,0,0,0,378.1128,0,0,09/12/2014 0:14
0,-5.932617,0,0,0,0,378.1128,0,0,09/12/2014 0:15
0,-5.778809,0,0,0,0,378.1128,0,0,09/12/2014 0:16
0,-5.251204274,0,0,0,0,378.1128,0,0,09/12/2014 0:16
0,-5.053711,0,0,0,0,378.1362405,0,0,09/12/2014 0:16
0,-6.767578,0,0,0,0,378.1675533,0,0,09/12/2014 0:16
0,-1.691895,0,0,0,0,378.1831764,0,0,09/12/2014 0:16
0,-6.789551,0,0,0,0,378.1989874,0,0,09/12/2014 0:16
0,-7.097168,0,0,0,0,378.4494229,0,0,09/12/2014 0:17
0,-3.14209,0,0,0,0,378.5431773,0,0,09/12/2014 0:18
0,-9.074707,0,0,0,0,378.7701136,0,0,09/12/2014 0:19
0,-7.316895,0,0,0,0,378.8248629,0,0,09/12/2014 0:19
0,-6.899414,0,0,0,0,378.9500514,0,0,09/12/2014 0:19
0,-6.753046767,0,0,0,0,379.0283,0,0,09/12/2014 0:20
0,-6.723698669,0,0,0,0,380.8594,0,0,09/12/2014 0:20
0,-6.709090489,0,0,0,0,377.1973,0,0,09/12/2014 0:20
0,-6.459961,0,0,0,0,378.0624514,0,0,09/12/2014 0:20
0,-6.629681374,0,0,0,0,378.1128,0,0,09/12/2014 0:20
0,-8.85498,0,0,0,0,378.3506372,0,0,09/12/2014 0:21
0,-4.416504,0,0,0,0,378.3693535,0,0,09/12/2014 0:21
0,-6.61377,0,0,0,0,378.4609118,0,0,09/12/2014 0:21
0,-3.779297,0,0,0,0,378.5524792,0,0,09/12/2014 0:21
0,-7.141113,0,0,0,0,378.5704813,0,0,09/12/2014 0:21
0,-7.363192105,0,0,0,0,379.0283,0,0,09/12/2014 0:22
0,-7.558594,0,0,0,0,378.5905032,0,0,09/12/2014 0:23
0,-6.487130712,0,0,0,0,377.1973,0,0,09/12/2014 0:25
0,-6.196289,0,0,0,0,378.7097735,0,0,09/12/2014 0:26
0,-6.126101757,0,0,0,0,379.0283,0,0,09/12/2014 0:26
0,-6.073147793,0,0,0,0,375.3662,0,0,09/12/2014 0:26
0,-6.038400592,0,0,0,0,377.1973,0,0,09/12/2014 0:26
0,-5.756836,0,0,0,0,377.8756007,0,0,09/12/2014 0:27
0,-8.986816,0,0,0,0,379.1428748,0,0,09/12/2014 0:28
0,-7.437425386,0,0,0,0,379.9438,0,0,09/12/2014 0:28
0,-7.191952277,0,0,0,0,378.1128,0,0,09/12/2014 0:28
0,-6.70166,0,0,0,0,378.1128,0,0,09/12/2014 0:29
0,-4.768066,0,0,0,0,378.1128,0,0,09/12/2014 0:29
0,-6.525879,0,0,0,0,378.1128,0,0,09/12/2014 0:29
0,-2.087402,0,0,0,0,378.1128,0,0,09/12/2014 0:29
0,-8.327637,0,0,0,0,378.1128,0,0,09/12/2014 0:29
0,-8.230678802,0,0,0,0,378.1128,0,0,09/12/2014 0:29
0,-7.998047,0,0,0,0,378.3464616,0,0,09/12/2014 0:30
0,-4.240723,0,0,0,0,378.3663578,0,0,09/12/2014 0:30
